epoch,train/box_loss,train/obj_loss,train/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,x/lr0,x/lr1,x/lr2
0,0.075402,0.022706,0.082091,0.061253,0.19927,0.060633,0.031612,0.043444,0.013312,0.079157,0.070121,0.0033198,0.0033198
1,0.045136,0.01699,0.077138,0.30881,0.19577,0.096613,0.062228,0.033804,0.010851,0.074731,0.040056,0.0065873,0.0065873
2,0.040971,0.015325,0.073005,0.28406,0.27136,0.13527,0.084599,0.030575,0.010189,0.069561,0.0099237,0.0097888,0.0097888
3,0.037515,0.01462,0.06823,0.23862,0.39024,0.20904,0.13921,0.028267,0.010119,0.065137,0.009703,0.009703,0.009703
4,0.034049,0.014167,0.064765,0.40516,0.34325,0.26769,0.17489,0.029997,0.010652,0.061196,0.009703,0.009703,0.009703
5,0.032677,0.013337,0.060452,0.37021,0.41883,0.30819,0.20554,0.02753,0.010215,0.056367,0.009604,0.009604,0.009604
6,0.03171,0.013432,0.057671,0.46161,0.44094,0.33209,0.2352,0.027047,0.010011,0.056672,0.009505,0.009505,0.009505
7,0.031151,0.01314,0.055582,0.49886,0.43195,0.4053,0.27533,0.027036,0.0099509,0.049828,0.009406,0.009406,0.009406
8,0.030999,0.013193,0.052748,0.46435,0.50604,0.44013,0.30874,0.027362,0.010433,0.050328,0.009307,0.009307,0.009307
9,0.031176,0.013209,0.049932,0.53406,0.47015,0.4498,0.30593,0.028075,0.0099802,0.048697,0.009208,0.009208,0.009208
10,0.030345,0.013066,0.04828,0.52762,0.53164,0.52259,0.36492,0.026325,0.010076,0.044605,0.009109,0.009109,0.009109
11,0.030052,0.012616,0.045619,0.57691,0.55801,0.52498,0.36755,0.025636,0.01013,0.044152,0.00901,0.00901,0.00901
12,0.029967,0.01269,0.043646,0.60591,0.4778,0.49194,0.34874,0.026608,0.0098921,0.048245,0.008911,0.008911,0.008911
13,0.029501,0.012571,0.042854,0.64596,0.52996,0.55579,0.39497,0.025544,0.010141,0.043037,0.008812,0.008812,0.008812
14,0.029666,0.012331,0.041631,0.6607,0.56367,0.60175,0.42604,0.025468,0.0097887,0.037937,0.008713,0.008713,0.008713
15,0.029614,0.012466,0.039341,0.62482,0.56341,0.58868,0.4284,0.025141,0.009814,0.039146,0.008614,0.008614,0.008614
16,0.028831,0.01209,0.038901,0.6857,0.57549,0.63303,0.44726,0.025519,0.0097895,0.036145,0.008515,0.008515,0.008515
17,0.029161,0.012342,0.037097,0.70828,0.56326,0.63769,0.46587,0.025536,0.0096187,0.037279,0.008416,0.008416,0.008416
18,0.028723,0.012023,0.035783,0.68304,0.61087,0.65981,0.48128,0.024935,0.0097547,0.033459,0.008317,0.008317,0.008317
19,0.028139,0.011846,0.035535,0.69718,0.61019,0.68501,0.49513,0.024671,0.0098048,0.0362,0.008218,0.008218,0.008218
20,0.028404,0.012125,0.035146,0.67446,0.6043,0.6609,0.48476,0.024593,0.0099081,0.036209,0.008119,0.008119,0.008119
21,0.02817,0.01166,0.033983,0.63052,0.6818,0.70941,0.52307,0.024347,0.0097911,0.03413,0.00802,0.00802,0.00802
