               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11263,            0.015448,            0.082321,           0.0019052,             0.20753,           0.0016925,          0.00044506,             0.10893,           0.0050661,             0.08393,            0.070099,           0.0033223,           0.0033223
                   1,            0.092551,             0.01672,            0.079949,            0.019223,             0.12642,            0.010992,           0.0031961,            0.085242,           0.0062008,            0.079408,             0.03944,           0.0059968,           0.0059968
                   2,            0.075935,            0.014036,            0.077668,            0.029274,              0.2698,            0.027632,            0.010226,            0.065779,           0.0053197,            0.076624,           0.0081212,           0.0080112,           0.0080112
                   3,            0.067851,            0.013381,            0.075684,              0.3693,            0.083059,            0.052509,            0.023931,            0.058438,           0.0049843,            0.075624,             0.00703,             0.00703,             0.00703
                   4,             0.06381,            0.013473,            0.075299,             0.19317,             0.13776,            0.054278,            0.021811,            0.057011,           0.0049239,            0.075192,             0.00703,             0.00703,             0.00703
                   5,            0.061663,            0.013483,            0.074781,             0.15025,              0.1435,            0.059748,            0.028183,            0.055289,           0.0048488,            0.075026,             0.00604,             0.00604,             0.00604
                   6,            0.057742,             0.01322,            0.075156,              0.1851,             0.17282,            0.067153,            0.034205,             0.05136,           0.0046599,             0.07454,             0.00505,             0.00505,             0.00505
                   7,            0.054861,            0.013171,            0.074129,             0.22953,             0.19187,            0.074777,            0.039215,            0.049723,            0.004517,            0.074105,             0.00406,             0.00406,             0.00406
                   8,            0.052659,            0.013012,            0.074459,             0.26389,             0.20937,             0.07538,            0.038411,             0.05042,           0.0044823,            0.073576,             0.00307,             0.00307,             0.00307
                   9,            0.051385,            0.013079,             0.07389,             0.26355,             0.23579,            0.078852,            0.043797,            0.046875,           0.0044647,            0.073365,             0.00208,             0.00208,             0.00208
