               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081189,            0.034222,            0.082748,            0.031364,             0.13678,            0.030722,            0.013088,            0.055253,            0.020068,             0.08185,            0.070484,           0.0032796,           0.0032796
                   1,            0.049228,            0.029454,            0.078019,             0.14956,             0.18879,            0.078869,            0.037609,            0.043378,            0.012294,            0.076304,            0.040157,           0.0062856,           0.0062856
                   2,            0.042754,             0.02654,            0.074512,             0.14547,             0.26628,             0.10047,            0.062712,            0.033038,            0.011213,            0.072736,           0.0094992,           0.0089616,           0.0089616
                   3,            0.037357,            0.025294,            0.069645,             0.25645,             0.36575,             0.15707,             0.10416,            0.027849,            0.010438,            0.067944,            0.008515,            0.008515,            0.008515
                   4,            0.033668,            0.024431,            0.065394,             0.25815,             0.43205,             0.22398,             0.14826,            0.027749,            0.010784,            0.063554,            0.008515,            0.008515,            0.008515
                   5,            0.032054,            0.023748,            0.060481,             0.38403,             0.38446,             0.26045,             0.16054,            0.030583,            0.011684,            0.063739,             0.00802,             0.00802,             0.00802
                   6,            0.030687,            0.023619,            0.056381,             0.42874,              0.3885,             0.33581,             0.22859,            0.028371,              0.0109,            0.054465,            0.007525,            0.007525,            0.007525
                   7,            0.029845,            0.023253,            0.052834,             0.45564,              0.4443,             0.38995,             0.27781,            0.025681,            0.010067,            0.056936,             0.00703,             0.00703,             0.00703
                   8,            0.029398,            0.023022,            0.049565,             0.52142,             0.45592,             0.41814,             0.30598,            0.025332,            0.010275,            0.052475,            0.006535,            0.006535,            0.006535
                   9,            0.029161,            0.023185,            0.045859,             0.55716,             0.47253,             0.46863,             0.31874,            0.027745,            0.010168,             0.05188,             0.00604,             0.00604,             0.00604
                  10,             0.02821,            0.022614,            0.043248,             0.52419,             0.53706,             0.48983,              0.3562,            0.025186,           0.0096843,            0.048554,            0.005545,            0.005545,            0.005545
                  11,            0.027537,            0.022118,            0.039632,             0.50798,             0.58449,             0.55377,             0.39869,            0.025359,           0.0099661,            0.041857,             0.00505,             0.00505,             0.00505
                  12,            0.027123,            0.022078,            0.037318,               0.615,             0.60052,              0.6109,               0.452,            0.024336,           0.0091944,            0.040518,            0.004555,            0.004555,            0.004555
